Genres,Film Count,Average Ratings
"Music,Romance,Western",1,54
"Music,Short,War",1,57
"Music,Sport,Talk-Show",1,72
"Musical,Mystery,Sci-Fi",1,62
"Musical,News,Reality-TV",1,69
"Musical,Sci-Fi,Thriller",1,57
"Mystery,News",1,79
"Mystery,Reality-TV,Romance",1,62
"Mystery,Sci-Fi,Talk-Show",1,91
"Mystery,Short,Sport",1,48
"Mystery,Short,War",1,53
"Mystery,Sport",1,59
"Mystery,Sport,Western",1,66
"Mystery,Thriller,War",1,72
"News,Romance",1,75
"News,Short,War",1,27
"News,Sport,War",1,73
"Reality-TV,Romance,Talk-Show",1,53
"Reality-TV,Sci-Fi,Short",1,73
"Reality-TV,Short,Sport",1,83
"Reality-TV,Sport,Talk-Show",1,69
"Reality-TV,Talk-Show,Western",1,82
"Romance,Talk-Show",1,51
"Sci-Fi,Thriller,War",1,32
"Short,Sport,Talk-Show",1,71
"Short,Sport,Western",1,54
"Action,Adult,Horror",2,50
"Action,Adult,Short",2,55
"Action,Animation,Musical",2,62
"Action,Biography,Fantasy",2,74.5
"Action,Biography,Thriller",2,69
"Action,Biography,War",2,64.5
"Action,Documentary,News",2,73.5
"Action,History,Musical",2,73.5
"Action,History,Sci-Fi",2,60.5
"Action,Horror,Music",2,61
"Action,Music,Western",2,48
"Action,News",2,51.5
"Action,News,Sport",2,65.5
"Action,Reality-TV,Sci-Fi",2,65
"Action,Sport,War",2,60.5
"Action,Talk-Show",2,81
"Adult,Adventure,Short",2,69
"Adult,Animation,Mystery",2,53
"Adult,Biography,Comedy",2,52
"Adult,Comedy,History",2,61
"Adult,Comedy,Talk-Show",2,59
"Adult,Comedy,War",2,62
"Adult,Crime,Short",2,44
"Adult,Documentary,Reality-TV",2,76
"Adult,Documentary,Romance",2,63.5
"Adult,Drama,Musical",2,59
"Adult,Fantasy,Short",2,49
"Adult,History,Romance",2,59.5
"Adult,Music,Romance",2,63.5
"Adult,Talk-Show",2,56
"Adventure,Animation,Game-Show",2,67.5
"Adventure,Biography,Family",2,59.5
"Adventure,Biography,Fantasy",2,81.5
"Adventure,Comedy,Talk-Show",2,68
"Adventure,Crime,Musical",2,74
"Adventure,Crime,War",2,62
"Adventure,Documentary,Thriller",2,63
"Adventure,Drama,News",2,78.5
"Adventure,History,Thriller",2,64.5
"Adventure,History,Western",2,65
"Adventure,Horror,Music",2,76.5
"Adventure,Horror,Western",2,58
"Adventure,Reality-TV,Sci-Fi",2,79
"Adventure,Reality-TV,Sport",2,54.5
"Adventure,Reality-TV,Talk-Show",2,61
"Adventure,Sci-Fi,Sport",2,64
"Adventure,Sci-Fi,War",2,51
"Adventure,Sci-Fi,Western",2,36
"Adventure,War,Western",2,49.5
"Animation,Biography,Sci-Fi",2,60.5
"Animation,Comedy,Thriller",2,65.5
"Animation,Crime,Sci-Fi",2,57
"Animation,Documentary,Horror",2,68
"Animation,Family,Reality-TV",2,63.5
"Animation,Family,Talk-Show",2,79
"Animation,History,Musical",2,66.5
"Animation,History,War",2,78
"Animation,Horror,Musical",2,74
"Animation,Music,Mystery",2,54
"Animation,Musical,Sci-Fi",2,69.5
"Animation,Musical,Sport",2,56
"Animation,News",2,57.5
"Animation,Sci-Fi,Thriller",2,68.5
"Animation,Short,Talk-Show",2,61
"Animation,Western",2,68.5
"Biography,Comedy,News",2,77
"Biography,Comedy,War",2,87.5
"Biography,Family,Musical",2,68.5
"Biography,Family,Sport",2,67.5
"Biography,Fantasy,History",2,72
"Biography,Fantasy,Horror",2,59
"Biography,Fantasy,Mystery",2,48.5
"Biography,History,Horror",2,66.5
"Biography,History,Sport",2,71
"Biography,History,Thriller",2,61
"Biography,History,Western",2,68.5
"Biography,Horror",2,44
"Biography,Horror,Short",2,88.5
"Biography,Horror,Thriller",2,60
"Biography,Romance,War",2,67.5
"Biography,Short,Western",2,55.5
"Biography,Sport,Talk-Show",2,76.5
"Comedy,Documentary,Thriller",2,62
"Comedy,Drama,Film-Noir",2,65
"Comedy,Game-Show,Romance",2,72.5
